0,1,2,3
0.0,0.0,108.41992,0.0
0.0,0.0,97.600395,0.0
0.0,0.0,92.82391,0.0
0.0,0.0,99.3101,32.77942
0.0,0.0,95.9951,59.950787
0.0,0.0,80.83532,75.70356
0.0,0.0,18.48396,134.34467
0.0,0.0,0.0,200.47794
0.0,0.0,0.0,76.23789
0.0,0.0,239.4962,0.0
0.0,0.0,88.76606,0.0
0.0,0.0,93.49984,0.0
0.0,0.0,84.02632,0.0
0.0,0.0,73.787766,0.0
0.0,0.0,86.13913,0.0
0.0,0.0,105.999466,0.0
0.0,0.0,101.0512,0.0
0.0,0.0,94.99511,0.0
0.0,0.0,91.212135,0.0
0.0,0.0,99.60244,0.0
0.0,0.0,102.53992,0.0
0.0,0.0,86.77541,0.0
0.0,0.0,18.667511,0.0
0.0,0.0,0.0,218.10938
0.0,0.0,0.0,63.741356
0.0,0.0,0.0,0.0
0.0,0.0,280.36517,0.0
0.0,0.0,139.80363,0.0
0.0,0.0,175.75351,0.0
0.0,0.0,168.72818,0.0
0.0,0.0,159.92361,0.0
0.0,0.0,150.41557,0.0
0.0,0.0,139.8892,0.0
0.0,0.0,127.993546,0.0
0.0,0.0,99.21389,0.0
0.0,0.0,27.263414,60.411316
0.0,0.0,0.0,238.63475
0.0,0.0,0.0,96.533
0.0,0.0,336.49832,0.0
0.0,0.0,277.68982,0.0
0.0,0.0,196.43835,0.0
0.0,0.0,166.62584,0.0
0.0,0.0,124.65025,121.37746
0.0,0.0,102.371704,48.25908
0.0,0.0,92.92016,45.82845
0.0,0.0,83.45792,24.332554
0.0,0.0,73.24235,32.067684
0.0,0.0,54.18315,63.990467
0.0,0.0,0.0,125.86333
0.0,0.0,0.0,148.27283
0.0,0.0,0.0,0.0
0.0,0.0,230.61816,0.0
0.0,0.0,115.38819,0.0
0.0,0.0,103.22232,0.0
0.0,0.0,103.67696,0.0
0.0,0.0,102.32142,0.0
0.0,0.0,102.06895,0.0
0.0,0.0,105.97713,0.0
0.0,0.0,111.17126,0.0
0.0,0.0,121.389435,0.0
0.0,0.0,129.26247,0.0
0.0,0.0,140.6277,53.82669
0.0,0.0,139.63187,18.01726
0.0,0.0,140.43279,39.86283
0.0,0.0,118.21289,47.948715
0.0,0.0,25.939823,86.238655
0.0,0.0,0.0,133.1644
0.0,0.0,0.0,37.09034
0.0,0.0,204.40556,0.0
0.0,0.0,92.381905,0.0
0.0,0.0,96.7534,0.0
0.0,0.0,95.55862,0.0
0.0,0.0,92.623116,0.0
0.0,0.0,92.25225,0.0
0.0,0.0,99.2211,0.0
0.0,0.0,103.58542,0.0
0.0,0.0,106.33519,0.0
0.0,0.0,110.4941,0.0
0.0,0.0,115.26286,0.0
0.0,0.0,120.31668,0.0
0.0,0.0,126.05809,0.0
0.0,0.0,120.46049,0.0
0.0,0.0,96.03619,0.0
0.0,0.0,18.901218,0.0
0.0,0.0,0.0,162.5947
0.0,0.0,0.0,211.2434
0.0,0.0,0.0,0.0
0.0,0.0,299.22815,0.0
0.0,0.0,111.393394,0.0
0.0,0.0,147.70526,0.0
0.0,0.0,124.98379,0.0
0.0,0.0,114.62165,0.0
0.0,0.0,109.50924,0.0
0.0,0.0,106.470726,0.0
0.0,0.0,91.553696,0.0
0.0,0.0,58.502747,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,175.08636
0.0,0.0,0.0,96.580925
