0,1,2,3
0.0,0.0,134.58014,37.757034
0.0,0.0,43.021,98.04438
0.0,0.0,0.0,184.02913
0.0,0.0,0.0,126.974884
0.0,0.0,250.2586,0.0
0.0,0.0,154.15314,0.0
0.0,0.0,120.042694,0.0
0.0,0.0,109.86799,0.0
0.0,0.0,96.318886,0.0
0.0,0.0,87.37814,0.0
0.0,0.0,86.90651,0.0
0.0,0.0,85.637115,0.0
0.0,0.0,84.77567,0.0
0.0,0.0,82.88605,0.0
0.0,0.0,89.33028,0.0
0.0,0.0,102.68631,0.0
0.0,0.0,118.84452,0.0
0.0,0.0,125.78148,0.0
0.0,0.0,122.19516,0.0
0.0,0.0,102.82431,0.0
0.0,0.0,41.22043,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,267.94064
0.0,0.0,0.0,161.46713
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,162.27257,0.0
0.0,0.0,133.37476,0.0
0.0,0.0,143.14365,0.0
0.0,0.0,130.13026,0.0
0.0,0.0,122.75965,106.12787
0.0,0.0,21.747873,105.832504
0.0,0.0,0.0,211.42268
0.0,0.0,0.0,224.33472
0.0,0.0,0.0,0.0
0.0,0.0,223.78896,0.0
0.0,0.0,175.92177,0.0
0.0,0.0,152.28864,62.72942
0.0,0.0,153.86862,26.634554
0.0,0.0,137.36803,14.40147
0.0,0.0,129.85213,9.066865
0.0,0.0,120.88731,0.0
0.0,0.0,113.01469,0.0
0.0,0.0,109.27268,17.960882
0.0,0.0,110.03509,23.745665
0.0,0.0,96.126205,70.00243
0.0,0.0,16.752066,154.49619
0.0,0.0,0.0,189.48366
0.0,0.0,0.0,0.0
0.0,0.0,245.54643,0.0
0.0,0.0,135.04465,0.0
0.0,0.0,101.95435,0.0
0.0,0.0,93.061325,0.0
0.0,0.0,84.849724,0.0
0.0,0.0,82.846375,0.0
0.0,0.0,84.56275,0.0
0.0,0.0,87.56974,0.0
0.0,0.0,89.57554,0.0
0.0,0.0,99.49077,0.0
0.0,0.0,108.27162,0.0
0.0,0.0,120.13058,0.0
0.0,0.0,131.69647,0.0
0.0,0.0,127.54911,46.79885
0.0,0.0,98.82158,56.872948
0.0,0.0,18.891153,122.37449
0.0,0.0,0.0,182.96263
0.0,0.0,0.0,93.4362
0.0,0.0,259.0107,0.0
0.0,0.0,96.41752,0.0
0.0,0.0,96.55756,0.0
0.0,0.0,85.2856,0.0
0.0,0.0,75.59715,0.0
0.0,0.0,71.84875,0.0
0.0,0.0,78.6122,0.0
0.0,0.0,88.03861,0.0
0.0,0.0,98.41724,0.0
0.0,0.0,102.371574,0.0
0.0,0.0,107.64984,0.0
0.0,0.0,113.55036,0.0
0.0,0.0,120.44254,0.0
0.0,0.0,125.8212,0.0
0.0,0.0,124.14318,0.0
0.0,0.0,107.07872,0.0
0.0,0.0,59.294724,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,244.70676
0.0,0.0,0.0,167.57773
0.0,0.0,131.26714,0.0
0.0,0.0,179.32898,0.0
0.0,0.0,126.13161,0.0
0.0,0.0,129.75607,0.0
0.0,0.0,123.60871,0.0
0.0,0.0,115.92174,0.0
0.0,0.0,106.575584,0.0
0.0,0.0,91.0294,0.0
0.0,0.0,68.69835,0.0
0.0,0.0,34.288094,0.0
0.0,0.0,27.271196,0.0
0.0,0.0,5.8756614,182.77368
0.0,0.0,0.0,277.18042
0.0,0.0,0.0,49.78908
0.0,0.0,254.26941,0.0
0.0,0.0,174.13261,0.0
0.0,0.0,163.98933,0.0
0.0,0.0,121.19414,0.0
0.0,0.0,65.77903,0.0
0.0,0.0,28.420702,0.0
0.0,0.0,17.05763,0.0
0.0,0.0,13.357923,231.09956
0.0,0.0,0.0,344.64194
0.0,0.0,0.0,209.50446
0.0,0.0,0.0,0.0
0.0,0.0,143.43248,0.0
0.0,0.0,136.22478,0.0
0.0,0.0,96.2381,0.0
0.0,0.0,98.96117,0.0
0.0,0.0,86.48594,0.0
0.0,0.0,52.72326,0.0
0.0,0.0,22.406973,0.0
0.0,0.0,3.131683,0.0
0.0,0.0,10.168163,0.0
0.0,0.0,23.899231,0.0
0.0,0.0,25.82649,156.61035
0.0,0.0,0.0,335.53748
0.0,0.0,0.0,267.37643
0.0,0.0,0.0,39.50444
0.0,0.0,0.0,0.0
0.0,0.0,240.96849,0.0
0.0,0.0,165.91354,0.0
0.0,0.0,134.66846,0.0
0.0,0.0,115.916954,0.0
0.0,0.0,96.34232,0.0
0.0,0.0,85.619095,0.0
0.0,0.0,74.51935,0.0
0.0,0.0,57.52241,0.0
0.0,0.0,43.673714,0.0
0.0,0.0,47.38904,0.0
0.0,0.0,56.591286,0.0
0.0,0.0,64.11242,0.0
0.0,0.0,69.67066,0.0
0.0,0.0,64.60808,205.73831
0.0,0.0,0.0,248.03514
0.0,0.0,0.0,211.85489
0.0,0.0,0.0,180.25534
0.0,0.0,0.0,134.8451
0.0,0.0,0.0,0.0
0.0,0.0,99.335526,0.0
0.0,0.0,80.33458,0.0
0.0,0.0,83.98346,0.0
0.0,0.0,81.562164,0.0
0.0,0.0,74.12451,0.0
0.0,0.0,87.45614,69.317474
0.0,0.0,0.0,121.18425
0.0,0.0,0.0,179.33797
0.0,0.0,0.0,0.8612427
0.0,0.0,206.35449,0.0
0.0,0.0,150.04811,0.0
0.0,0.0,127.85509,0.0
0.0,0.0,120.84478,67.64275
0.0,0.0,135.88751,16.325798
0.0,0.0,142.3307,0.0
0.0,0.0,147.16052,0.0
0.0,0.0,139.69507,17.979908
0.0,0.0,93.857864,72.05274
0.0,0.0,0.0,173.2821
0.0,0.0,0.0,165.32356
0.0,0.0,141.36824,0.0
0.0,0.0,183.1273,0.0
0.0,0.0,130.07956,0.0
0.0,0.0,116.19561,0.0
0.0,0.0,107.500824,0.0
0.0,0.0,97.21387,0.0
0.0,0.0,90.082726,0.0
0.0,0.0,86.99156,0.0
0.0,0.0,87.42835,0.0
0.0,0.0,88.73344,0.0
0.0,0.0,90.78588,0.0
0.0,0.0,92.790016,0.0
0.0,0.0,96.04752,0.0
0.0,0.0,93.730576,47.815895
0.0,0.0,24.064825,70.52101
0.0,0.0,0.0,162.6265
0.0,0.0,0.0,155.37157
0.0,0.0,134.97578,0.0
0.0,0.0,151.8597,0.0
0.0,0.0,160.04074,0.0
0.0,0.0,153.6635,0.0
0.0,0.0,149.41556,0.0
0.0,0.0,139.91493,0.0
0.0,0.0,126.62777,0.0
0.0,0.0,98.43012,0.0
0.0,0.0,48.626007,0.0
0.0,0.0,0.0,9.649042
0.0,0.0,0.0,224.65506
0.0,0.0,0.0,107.11663
0.0,0.0,0.0,0.0
0.0,0.0,162.56918,0.0
0.0,0.0,131.08963,0.0
0.0,0.0,116.896095,0.0
0.0,0.0,117.96672,0.0
0.0,0.0,126.839325,0.0
0.0,0.0,125.149704,0.0
0.0,0.0,124.49815,0.0
0.0,0.0,123.78725,0.0
0.0,0.0,124.17282,49.18781
0.0,0.0,110.22027,51.69543
0.0,0.0,82.69427,94.0657
0.0,0.0,0.0,177.64299
0.0,0.0,0.0,163.55685
0.0,0.0,198.91927,0.0
0.0,0.0,140.76022,0.0
0.0,0.0,123.898544,0.0
0.0,0.0,112.42114,0.0
0.0,0.0,90.96153,0.0
